https://www.trulia.com/p/ca/san-diego/3051-hawthorn-st-san-diego-ca-92104--2079704963,3051 Hawthorn St,San Diego,CA,92104,South Park,32.727253368867,-117.12865485393,12bd,14ba,8076,multi-family,,Built in 1960,06/30/1998,Sold,$455K,,,,
https://www.trulia.com/p/ca/san-diego/2455-dulzura-ave-san-diego-ca-92104--1003779354,2455 Dulzura Ave,San Diego,CA,92104,Burlingame,32.731571958567,-117.12661808562,,,1796,farm/ranch,6395 sqft,Built in 1949,12/07/2015,Sold,$400K,,,,
https://www.trulia.com/p/ca/san-diego/3135-mckinley-st-san-diego-ca-92104--2079705505,3135 McKinley St,San Diego,CA,92104,North Park,32.738122570873,-117.119952757,3bd,3ba,1662,single-family home,,Built in 1990,03/28/2005,Sold,$735K,,,,
https://www.trulia.com/p/ca/san-diego/3135-mckinley-st-san-diego-ca-92104--2079705505,3135 McKinley St,San Diego,CA,92104,North Park,32.738122570873,-117.119952757,3bd,3ba,1662,single-family home,,Built in 1990,03/16/1999,Sold,$263K,,,,
https://www.trulia.com/p/ca/san-diego/3135-mckinley-st-san-diego-ca-92104--2079705505,3135 McKinley St,San Diego,CA,92104,North Park,32.738122570873,-117.119952757,3bd,3ba,1662,single-family home,,Built in 1990,05/01/1998,Sold,$115K,,,,
https://www.trulia.com/p/ca/san-diego/2209-montclair-st-san-diego-ca-92104--1062128447,2209 Montclair St,San Diego,CA,92104,North Park,32.728980937396,-117.11498906079,3bd,1ba,1404,single-family home,8000 sqft,Built in 1964,07/15/2016,Sold,$650K,,,,1
https://www.trulia.com/p/ca/san-diego/2209-montclair-st-san-diego-ca-92104--1062128447,2209 Montclair St,San Diego,CA,92104,North Park,32.728980937396,-117.11498906079,3bd,1ba,1404,single-family home,8000 sqft,Built in 1964,08/28/2014,Sold,$483K,,,,1
https://www.trulia.com/p/ca/san-diego/2209-montclair-st-san-diego-ca-92104--1062128447,2209 Montclair St,San Diego,CA,92104,North Park,32.728980937396,-117.11498906079,3bd,1ba,1404,single-family home,8000 sqft,Built in 1964,07/23/2014,Sold,$400K,,,,1
https://www.trulia.com/p/ca/san-diego/4040-44-hamilton-st-san-diego-ca-92104--2208164160,4040-44 Hamilton St,San Diego,CA,92104,North Park,32.751182466314,-117.13669412178,9bd,6ba,4521,multi-family,,Built in 1941,05/01/2017,Sold,$1.53M,,,,
https://www.trulia.com/p/ca/san-diego/4040-44-hamilton-st-san-diego-ca-92104--2208164160,4040-44 Hamilton St,San Diego,CA,92104,North Park,32.751182466314,-117.13669412178,9bd,6ba,4521,multi-family,,Built in 1941,09/09/2002,Sold,$649K,,,,
https://www.trulia.com/p/ca/san-diego/3216-30th-st-san-diego-ca-92104--1013385392,3216 30th St,San Diego,CA,92104,North Park,32.738763069642,-117.1296062895,1bd,1ba,494,condo,0.29 acres,Built in 1922,09/28/2016,Sold,$375K,,,,
https://www.trulia.com/p/ca/san-diego/3216-30th-st-san-diego-ca-92104--1013385392,3216 30th St,San Diego,CA,92104,North Park,32.738763069642,-117.1296062895,1bd,1ba,494,condo,0.29 acres,Built in 1922,10/17/2014,Sold,$260K,,,,
https://www.trulia.com/p/ca/san-diego/3216-30th-st-san-diego-ca-92104--1013385392,3216 30th St,San Diego,CA,92104,North Park,32.738763069642,-117.1296062895,1bd,1ba,494,condo,0.29 acres,Built in 1922,07/17/2009,Sold,$160K,,,,
https://www.trulia.com/p/ca/san-diego/3957-30th-st-515-san-diego-ca-92104--2079712224,3957 30th St #515,San Diego,CA,92104,North Park,32.749619923971,-117.12979412922,1bd,1ba,949,condo,,Built in 2006,03/26/2010,Sold,$225K,,,,
https://www.trulia.com/p/ca/san-diego/3322-24-mckinley-st-san-diego-ca-92104--2208160168,3322-24 McKinley St,San Diego,CA,92104,North Park,32.739731524412,-117.12053017186,4bd,2ba,1500,multi-family,,Built in 1958,08/17/2010,Sold,$325K,,,,
https://www.trulia.com/p/ca/san-diego/3265-thorn-st-san-diego-ca-92104--1019250939,3265 Thorn St,San Diego,CA,92104,North Park,32.739097150662,-117.12366341586,2bd,2ba,922,single-family home,2382 sqft,Built in 1939,05/31/2011,Sold,$429K,,,,
https://www.trulia.com/p/ca/san-diego/3265-thorn-st-san-diego-ca-92104--1019250939,3265 Thorn St,San Diego,CA,92104,North Park,32.739097150662,-117.12366341586,2bd,2ba,922,single-family home,2382 sqft,Built in 1939,11/25/2008,Sold,$422K,,,,
https://www.trulia.com/p/ca/san-diego/3265-thorn-st-san-diego-ca-92104--1019250939,3265 Thorn St,San Diego,CA,92104,North Park,32.739097150662,-117.12366341586,2bd,2ba,922,single-family home,2382 sqft,Built in 1939,06/23/2003,Sold,$362K,,,,
https://www.trulia.com/p/ca/san-diego/3265-thorn-st-san-diego-ca-92104--1019250939,3265 Thorn St,San Diego,CA,92104,North Park,32.739097150662,-117.12366341586,2bd,2ba,922,single-family home,2382 sqft,Built in 1939,02/28/2003,Sold,$303K,,,,
https://www.trulia.com/p/ca/san-diego/3265-thorn-st-san-diego-ca-92104--1019250939,3265 Thorn St,San Diego,CA,92104,North Park,32.739097150662,-117.12366341586,2bd,2ba,922,single-family home,2382 sqft,Built in 1939,09/25/1997,Sold,$110K,,,,
https://www.trulia.com/p/ca/san-diego/2923-spruce-st-san-diego-ca-92104--2079704275,2923 Spruce St,San Diego,CA,92104,North Park,32.738244968858,-117.13097524796,2bd,1ba,966,single-family home,5200 sqft,Built in 2012,08/22/2017,Sold,$739K,,,,
https://www.trulia.com/p/ca/san-diego/2923-spruce-st-san-diego-ca-92104--2079704275,2923 Spruce St,San Diego,CA,92104,North Park,32.738244968858,-117.13097524796,2bd,1ba,966,single-family home,5200 sqft,Built in 2012,08/07/1998,Sold,$175K,,,,
https://www.trulia.com/p/ca/san-diego/2201-commonwealth-ave-san-diego-ca-92104--2079702245,2201 Commonwealth Ave,San Diego,CA,92104,North Park,32.728484019647,-117.11811275495,5bd,3ba,3271,single-family home,8780 sqft,Built in 2005,01/10/2001,Sold,$55K,,,,
